route_id,route_name,origin_warehouse,destination_city,destination_country,distance_km,estimated_duration_hours,transport_mode,carrier_name,carrier_code,contract_type,base_cost_usd,cost_per_kg_usd,route_status,frequency_per_week,customs_required,cold_chain_required,max_payload_kg,avg_delay_hours,is_active
7132480,RT-4557,Surabaya-WH,Surabaya,Malaysia,1450.3,32.6,Sea,FedEx,CR8238,Spot,20.0,1.147,Active,3,0,1,2000,5.78,0
7782484,RT-6322,Surabaya-WH,Makassar,Singapore,833.1,51.0,Air,J&T,CR7908,Contracted,224.01,1.886,Inactive,3,0,0,2000,16.92,1
7792340,RT-9156,Jakarta-WH1,Bandung,Philippines,412.2,15.9,Courier,Pos Indonesia,CR3923,Contracted,313.56,0.12,Active,3,0,1,10000,0.17,1
7625256,RT-4325,Bandung-WH,Bali,Indonesia,424.8,33.5,Truck,JNE,CR8038,Contracted,333.47,0.071,Active,3,0,1,1000,3.74,1
7432262,RT-4050,Bandung-WH,Makassar,Indonesia,10.0,23.1,Truck,JNE,CR4708,Contracted,115.24,3.246,Active,3,0,1,10000,1.75,1
7962217,RT-1221,Jakarta-WH1,Makassar,Indonesia,252.9,8.9,Courier,SiCepat,CR1463,Contracted,158.52,1.517,Active,7,0,0,2000,8.38,1
7825923,RT-1916,Surabaya-WH,Surabaya,Malaysia,346.3,17.0,Sea,JNE,CR9005,Contracted,414.58,2.791,Active,3,0,1,500,2.03,1
7405160,RT-8332,Jakarta-WH1,Bandung,Indonesia,178.8,83.2,Truck,SiCepat,CR1621,Contracted,20.0,2.858,Active,3,0,0,2000,1.98,0
7985058,RT-5925,Jakarta-WH2,Jakarta,Indonesia,462.5,2.1,Sea,JNE,CR7525,Contracted,31.02,2.196,Inactive,3,0,0,10000,1.88,1
7597466,RT-5132,Surabaya-WH,Medan,Indonesia,26.9,8.5,Courier,DHL,CR3340,Contracted,215.33,3.125,Active,5,1,0,2000,2.71,1
7846014,RT-6997,Jakarta-WH1,Bandung,Indonesia,451.6,55.9,Truck,FedEx,CR4215,Contracted,481.36,0.587,Active,2,0,1,2000,1.95,1
7337360,RT-4394,Bandung-WH,Bandung,Indonesia,10.0,1.2,Truck,Tiki,CR9226,Contracted,252.69,2.782,Active,1,0,1,1000,1.44,1
7823660,RT-5814,Jakarta-WH2,Surabaya,Indonesia,192.5,20.7,Sea,Tiki,CR3716,Contracted,20.0,2.421,Active,3,0,1,2000,2.43,1
7996584,RT-6387,Jakarta-WH2,Surabaya,Indonesia,875.0,19.1,Air,FedEx,CR3193,Contracted,342.48,2.248,Active,3,1,1,2000,1.95,1
7505751,RT-2151,Jakarta-WH1,Bandung,Indonesia,725.4,17.2,Truck,Tiki,CR4318,On-Demand,317.06,1.974,Suspended,5,1,0,1000,1.65,1
